"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","tenure_bin"
"29","5248-YGIJN","Male","NO","Yes","No",70,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",1402,5135,"No","5-6 years"
"30","8773-HHUOZ","Female","NO","No","Yes",9,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",926,184,"Yes","0-1 year"
"31","3841-NFECX","Female","YES","Yes","No",69,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",1519,5354,"No","5-6 years"
"32","4929-XIHVW","Male","YES","Yes","No",12,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",1502,1360,"No","0-1 year"
"33","6827-IEAUQ","Female","NO","Yes","Yes",20,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Mailed check",954,1449,"No","1-2 years"
"34","7310-EGVHZ","Male","NO","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",338,1610,"No","0-1 year"
"35","3413-BMNZE","Male","YES","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",615,3815,"No","0-1 year"
"36","6234-RAAPL","Female","NO","Yes","Yes",70,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",1583,5644,"No","5-6 years"
"37","6047-YHPVI","Male","NO","No","No",45,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",1013,2742,"Yes","3-4 years"
"38","6572-ADKRS","Female","NO","No","No",41,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",1107,3073,"No","3-4 years"
"39","5380-WJKOV","Male","NO","No","No",28,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",122,3074,"Yes","2-3 years"
"40","8168-UQWWF","Female","NO","No","No",3,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",1543,202,"Yes","0-1 year"
"41","8865-TNMNX","Male","NO","Yes","Yes",2,"Yes","No","DSL","No","Yes","No","No","No","No","One year","No","Mailed check",672,4024,"No","0-1 year"
"42","9489-DEDVP","Female","NO","Yes","Yes",68,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)",1003,4118,"No","5-6 years"
"43","9867-JCZSP","Female","NO","Yes","Yes",9,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",349,3572,"No","0-1 year"
"44","4671-VJLCL","Female","NO","No","No",60,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",1201,4105,"No","4-5 years"
"45","4080-IIARD","Female","NO","Yes","No",5,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",1135,6503,"No","0-1 year"
"46","3714-NTNFO","Female","NO","No","No",44,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",1289,3348,"No","3-4 years"
"47","5948-UJZLF","Male","NO","No","No",12,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",666,6481,"No","0-1 year"
"48","7760-OYPDY","Female","NO","No","No",12,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",1217,809,"Yes","0-1 year"
"49","7639-LIAYI","Male","NO","No","No",48,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",1199,3599,"No","3-4 years"
"50","2954-PIBKO","Female","NO","Yes","Yes",66,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",915,3625,"No","5-6 years"
"51","8012-SOUDQ","Female","YES","No","No",38,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",1402,3285,"No","3-4 years"
"52","9420-LOJKX","Female","NO","No","No",7,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",1567,789,"Yes","0-1 year"
"53","6575-SUVOI","Female","YES","Yes","No",18,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",1009,1275,"No","1-2 years"
"54","7495-OOKFY","Female","YES","Yes","No",71,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",1217,5113,"Yes","5-6 years"
"55","4667-QONEA","Female","YES","Yes","Yes",57,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",1108,3782,"No","4-5 years"
"56","1658-BYGOY","Male","YES","No","No",10,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",1501,1274,"Yes","0-1 year"
"57","8769-KKTPH","Female","NO","Yes","Yes",60,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",1578,5104,"No","4-5 years"
"58","5067-XJQFU","Male","YES","Yes","Yes",63,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",160,5555,"No","5-6 years"
"59","3957-SQXML","Female","NO","Yes","Yes",28,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",396,6314,"No","2-3 years"
"60","5954-BDFSG","Female","NO","No","No",70,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",143,5937,"No","5-6 years"
"61","0434-CSFON","Female","NO","Yes","No",42,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",11,3985,"No","3-4 years"
"62","1215-FIGMP","Male","NO","No","No",57,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",1395,4530,"No","4-5 years"
"63","0526-SXDJP","Male","NO","Yes","No",70,"No","No","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",570,2558,"No","5-6 years"
"64","0557-ASKVU","Female","NO","Yes","Yes",10,"Yes","No","DSL","No","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",751,6459,"No","0-1 year"
"65","5698-BQJOH","Female","NO","No","No",72,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",1480,6234,"Yes","5-6 years"
"66","5122-CYFXA","Female","NO","No","No",23,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",1117,2086,"No","1-2 years"
"67","8627-ZYGSZ","Male","NO","Yes","No",42,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","Yes","Electronic check",1182,3157,"No","3-4 years"
"68","3410-YOQBQ","Female","NO","No","No",25,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",1188,2143,"No","2-3 years"
"69","3170-NMYVV","Female","NO","Yes","Yes",46,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",337,6399,"No","3-4 years"
"70","7410-OIEDU","Male","NO","No","No",2,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",1201,6290,"No","0-1 year"
"71","2273-QCKXA","Male","NO","No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",662,4137,"No","0-1 year"
"72","0731-EBJQB","Female","NO","Yes","Yes",48,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Electronic check",342,181,"No","3-4 years"
"73","1891-QRQSA","Male","YES","Yes","Yes",61,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",218,5563,"No","5-6 years"
"74","8028-PNXHQ","Male","NO","Yes","Yes",59,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",382,785,"No","4-5 years"
"75","5630-AHZIL","Female","NO","No","Yes",23,"Yes","No","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",922,1295,"No","1-2 years"
"76","2673-CXQEU","Female","YES","No","No",52,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Electronic check",198,5009,"No","4-5 years"
"77","6416-JNVRK","Female","NO","No","No",41,"Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)",776,2339,"No","3-4 years"
"78","5590-ZSKRV","Female","NO","Yes","Yes",71,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check",756,4071,"No","5-6 years"
"79","0191-ZHSKZ","Male","YES","No","No",24,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",1106,1742,"No","1-2 years"
"80","3887-PBQAO","Female","NO","Yes","Yes",40,"Yes","Yes","No","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",415,397,"No","3-4 years"
"81","5919-TMRGD","Female","NO","No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",1191,5966,"Yes","0-1 year"
"82","8108-UXRQN","Female","NO","Yes","Yes",3,"No","No","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",692,4676,"No","0-1 year"
"83","9191-MYQKX","Female","NO","Yes","No",67,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",1114,4199,"Yes","5-6 years"
"84","9919-YLNNG","Female","NO","No","No",37,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",71,3682,"No","3-4 years"
"85","0318-ZOPWS","Female","NO","Yes","No",44,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",337,6491,"No","3-4 years"
"86","4445-ZJNMU","Male","NO","No","No",72,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",1571,6364,"No","5-6 years"
"87","4808-YNLEU","Female","NO","Yes","No",29,"Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",887,1852,"No","2-3 years"
"88","1862-QRWPE","Female","NO","Yes","Yes",43,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",347,108,"No","3-4 years"
"89","2796-NNUFI","Female","NO","Yes","Yes",41,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",333,6382,"No","3-4 years"
"90","3016-KSVCP","Male","NO","Yes","No",22,"No","No","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",478,19,"No","1-2 years"
"91","4767-HZZHQ","Male","NO","Yes","Yes",24,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",1245,2229,"No","1-2 years"
"92","2424-WVHPL","Male","YES","No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",1105,5723,"No","0-1 year"
"93","7233-PAHHL","Male","NO","Yes","Yes",63,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",1279,4717,"No","5-6 years"
"94","6067-NGCEU","Female","NO","No","No",62,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",207,5575,"No","5-6 years"
"95","9848-JQJTX","Male","NO","No","No",70,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",19,5751,"No","5-6 years"
"96","8637-XJIVR","Female","NO","No","No",4,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",1183,6384,"Yes","0-1 year"
"97","9803-FTJCG","Male","NO","Yes","Yes",69,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",966,4018,"No","5-6 years"
"98","0278-YXOOG","Male","NO","No","No",45,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",355,252,"Yes","3-4 years"
"99","3212-KXOCR","Male","NO","No","No",48,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",354,203,"No","3-4 years"
"100","4598-XLKNJ","Female","YES","Yes","No",18,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",1556,2175,"Yes","1-2 years"
"101","6380-ARCEH","Male","NO","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",338,1610,"No","0-1 year"
"102","3679-XASPY","Female","NO","Yes","Yes",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Electronic check",323,1483,"No","0-1 year"
"103","7123-WQUHX","Male","NO","No","No",32,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",1492,3122,"No","2-3 years"
"104","5386-THSLQ","Female","YES","Yes","No",63,"No","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",621,2630,"No","5-6 years"
"105","3192-NQECA","Male","NO","Yes","No",65,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",189,5833,"Yes","5-6 years"
"106","6180-YBIQI","Male","NO","No","No",45,"No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",383,1,"No","3-4 years"
"107","6728-DKUCO","Female","NO","Yes","Yes",70,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",78,5672,"No","5-6 years"
"108","9750-BOOHV","Female","NO","No","No",26,"No","No","DSL","Yes","No","No","No","No","No","One year","No","Mailed check",452,6385,"No","2-3 years"
"109","8597-CWYHH","Male","NO","No","No",38,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Mailed check",1479,3358,"No","3-4 years"
"110","2848-YXSMW","Male","NO","Yes","Yes",70,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",322,658,"No","5-6 years"
"111","0486-HECZI","Male","NO","Yes","No",51,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",1526,4391,"Yes","4-5 years"
"112","4549-ZDQYY","Female","NO","No","No",48,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",812,2642,"No","3-4 years"
"113","5712-AHQNN","Female","NO","No","No",38,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",1430,3380,"No","3-4 years"
"114","4846-WHAFZ","Female","YES","Yes","No",31,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",1141,2475,"Yes","2-3 years"
"115","5256-SKJGO","Female","NO","Yes","Yes",61,"No","No","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",755,2967,"No","5-6 years"
"116","3071-VBYPO","Male","NO","Yes","Yes",23,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",1394,2128,"No","1-2 years"
"117","9560-BBZXK","Female","NO","No","No",30,"No","No","DSL","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",466,240,"No","2-3 years"
"118","5299-RULOA","Female","NO","Yes","Yes",2,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",6,124,"Yes","0-1 year"
"119","8402-OOOHJ","Female","NO","No","No",36,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",347,6160,"No","2-3 years"
"120","9445-ZUEQE","Male","NO","Yes","Yes",20,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",1303,1769,"No","1-2 years"
"121","1091-SOZGA","Female","NO","Yes","Yes",52,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",1581,4581,"No","4-5 years"
"122","2928-HLDBA","Female","NO","No","No",56,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",348,230,"No","4-5 years"
"123","0404-SWRVG","Male","NO","No","No",23,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",1099,1931,"Yes","1-2 years"
"124","6497-TILVL","Female","NO","Yes","Yes",67,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",695,3039,"No","5-6 years"
"125","7219-TLZHO","Female","NO","Yes","Yes",34,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",351,5043,"No","2-3 years"
"126","4622-YNKIJ","Male","NO","No","No",27,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Two year","Yes","Electronic check",1376,2632,"No","2-3 years"
"127","4412-YLTKF","Female","YES","No","No",20,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",1165,1755,"Yes","1-2 years"
"128","6734-PSBAW","Male","NO","Yes","No",70,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",369,1228,"No","5-6 years"
"129","3930-ZGWVE","Male","NO","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",329,1489,"No","0-1 year"
"130","2639-UGMAZ","Male","YES","No","No",69,"No","No","DSL","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",792,3403,"No","5-6 years"
"131","2876-GZYZC","Female","NO","No","No",5,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",1318,394,"No","0-1 year"
"132","6207-WIOLX","Female","NO","Yes","Yes",18,"No","No","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",821,912,"Yes","1-2 years"
"133","8587-XYZSF","Male","NO","No","No",64,"Yes","No","DSL","No","No","No","Yes","No","No","Two year","No","Bank transfer (automatic)",692,2837,"No","5-6 years"
"134","3091-FYHKI","Male","NO","No","No",1,"No","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",503,3032,"Yes","0-1 year"
"135","2372-HWUHI","Male","NO","No","No",12,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",597,6058,"Yes","0-1 year"
"136","7799-LGRDP","Female","NO","No","No",38,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",411,348,"No","3-4 years"
"137","7850-VWJUU","Female","NO","No","No",16,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",1111,1304,"No","1-2 years"
"138","3774-VBNXY","Female","NO","Yes","Yes",61,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",338,510,"No","5-6 years"
"139","6217-KDYWC","Male","NO","No","Yes",53,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",326,319,"No","4-5 years"
"140","0390-DCFDQ","Female","YES","Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",1028,5510,"Yes","0-1 year"
"141","3146-MSEGF","Female","YES","Yes","Yes",70,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",1358,5173,"No","5-6 years"
"142","4080-OGPJL","Female","NO","No","No",71,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","No","Electronic check",1042,4664,"Yes","5-6 years"
"143","1095-WGNGG","Female","NO","Yes","No",58,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",22,4894,"No","4-5 years"
"144","2636-SJDOU","Male","NO","No","No",61,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","One year","Yes","Credit card (automatic)",1285,4419,"No","5-6 years"
"145","1131-QQZEB","Male","YES","Yes","No",69,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",376,1278,"No","5-6 years"
"146","5716-EZXZN","Female","NO","Yes","Yes",62,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","Yes","Credit card (automatic)",1566,5168,"No","5-6 years"
"147","6837-BJYDQ","Male","NO","No","No",23,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",326,4983,"No","1-2 years"
"148","2135-RXIHG","Male","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",623,3821,"Yes","0-1 year"
"149","6440-DKQGE","Male","NO","No","Yes",24,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Credit card (automatic)",922,1528,"No","1-2 years"
"150","3466-BYAVD","Male","NO","Yes","Yes",7,"Yes","No","DSL","No","Yes","Yes","Yes","No","Yes","Month-to-month","Yes","Mailed check",1009,141,"No","0-1 year"
"151","3780-YVMFA","Female","NO","Yes","Yes",71,"Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",990,4669,"No","5-6 years"
"152","3874-EQOEP","Male","NO","No","No",67,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Mailed check",1492,5236,"Yes","5-6 years"
"153","1679-JRFBR","Female","NO","Yes","Yes",68,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",154,5988,"No","5-6 years"
"154","9073-ZZIAY","Male","NO","Yes","Yes",59,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",1321,4370,"No","4-5 years"
"155","3077-RSNTJ","Female","NO","Yes","Yes",56,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",328,250,"No","4-5 years"
"156","6551-GNYDG","Female","NO","Yes","Yes",6,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",1222,290,"No","0-1 year"
"157","9167-APMXZ","Female","NO","No","No",15,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",1282,1378,"No","1-2 years"
